id,user_id,car_model_id,is_default,is_deleted,created_at,updated_at,created_user,updated_user
81,64,40,0,1,17:18.4,17:18.4,system,system
83,785,13,0,1,08:08.3,08:08.3,system,system
87,658,43,0,1,20:16.3,20:16.3,system,system
88,793,41,0,1,11:05.2,11:05.2,system,system
89,795,11,0,1,37:57.3,37:57.3,system,system
90,796,42,0,1,49:31.6,49:31.6,system,system
92,802,42,0,1,58:21.9,58:21.9,system,system
93,810,33,0,1,22:53.1,22:53.1,system,system
94,819,42,0,1,10:20.1,10:20.1,system,system
95,822,41,0,1,42:57.3,42:57.3,system,system
96,164,40,0,1,15:21.4,15:21.4,system,system
98,832,40,0,1,11:03.0,11:03.0,system,system
99,670,42,0,1,40:42.5,40:42.5,system,system
101,837,44,0,1,27:36.1,27:36.1,system,system
102,804,41,0,1,09:54.6,09:54.6,system,system
103,841,44,0,1,00:42.9,00:42.9,system,system
104,842,42,0,1,44:31.6,44:31.6,system,system
105,847,42,0,1,23:48.4,23:48.4,system,system
106,846,13,0,1,00:43.3,00:43.3,system,system
107,854,42,0,1,20:46.3,20:46.3,system,system
108,856,11,0,1,07:27.3,07:27.3,system,system
109,867,44,0,1,17:55.2,17:55.2,system,system
110,540,12,0,1,33:00.7,33:00.7,system,system
111,876,40,0,1,37:03.7,37:03.7,system,system
112,880,41,0,1,59:37.5,59:37.5,system,system
115,884,12,0,1,34:37.7,34:37.7,system,system
116,886,40,0,1,02:28.5,02:28.5,system,system
117,890,44,0,1,27:13.3,27:13.3,system,system
119,893,12,0,1,51:49.4,51:49.4,system,system
120,894,41,0,1,30:35.4,30:35.4,system,system
124,904,44,0,1,23:11.3,23:11.3,system,system
125,907,41,0,1,07:12.0,07:12.0,system,system
127,914,44,0,1,50:19.1,50:19.1,system,system
128,917,41,0,1,29:46.9,29:46.9,system,system
129,919,44,0,1,37:30.0,37:30.0,system,system
130,928,36,0,1,34:50.3,34:50.3,system,system
131,937,40,0,1,00:24.5,00:24.5,system,system
135,946,42,0,1,22:51.3,22:51.3,system,system
137,949,42,0,1,33:32.4,33:32.4,system,system
139,953,44,0,1,29:54.6,29:54.6,system,system
140,959,11,0,1,33:46.0,33:46.0,system,system
141,970,42,0,1,19:22.6,19:22.6,system,system
143,611,1,0,1,49:30.6,49:30.6,system,system
146,983,42,0,1,18:06.3,18:06.3,system,system
147,986,41,0,1,34:27.2,34:27.2,system,system
148,995,36,0,1,04:19.5,04:19.5,system,system
149,873,42,0,1,14:57.6,14:57.6,system,system
153,1016,15,0,1,04:31.4,04:31.4,system,system
155,1026,42,0,1,47:51.8,47:51.8,system,system
156,1028,44,0,1,13:56.9,13:56.9,system,system
157,1034,12,0,1,41:52.1,41:52.1,system,system
158,1035,41,0,1,40:37.5,40:37.5,system,system
159,974,42,0,1,28:08.6,28:08.6,system,system
160,1040,43,0,1,56:18.8,56:18.8,system,system
161,1047,44,0,1,57:00.6,57:00.6,system,system
164,1068,15,0,1,39:12.8,39:12.8,system,system
166,1074,40,0,1,03:50.5,03:50.5,system,system
167,768,1,0,1,28:25.5,28:25.5,system,system
168,1080,40,0,1,23:57.6,23:57.6,system,system
169,1089,40,0,1,30:28.8,30:28.8,system,system
170,866,41,0,1,03:35.3,03:35.3,system,system
171,1099,41,0,1,55:48.4,55:48.4,system,system
172,1104,42,0,1,29:43.3,29:43.3,system,system
175,1120,44,0,1,10:01.0,10:01.0,system,system
176,697,41,0,1,10:20.5,10:20.5,system,system
177,1131,34,0,1,18:11.5,18:11.5,system,system
179,1135,42,0,1,36:14.5,36:14.5,system,system
180,1136,42,0,1,50:38.5,50:38.5,system,system
181,1103,43,0,1,42:15.3,42:15.3,system,system
182,1141,41,0,1,15:06.5,15:06.5,system,system
183,1140,40,0,1,35:32.8,35:32.8,system,system
184,1157,42,0,1,17:08.1,17:08.1,system,system
185,1158,41,0,1,55:01.8,55:01.8,system,system
186,1161,43,0,1,55:40.4,55:40.4,system,system
188,1167,42,0,1,28:07.6,28:07.6,system,system
189,1169,42,0,1,48:17.4,48:17.4,system,system
190,1174,40,0,1,09:12.8,09:12.8,system,system
192,1190,12,0,1,14:41.2,14:41.2,system,system
193,1192,13,0,1,23:56.4,23:56.4,system,system
194,1193,42,0,1,53:34.3,53:34.3,system,system
195,718,44,0,1,17:56.4,17:56.4,system,system
196,1070,34,0,1,28:16.0,28:16.0,system,system
198,1233,42,0,1,14:41.9,14:41.9,system,system
199,1230,42,0,1,29:50.1,29:50.1,system,system
200,1256,42,0,1,48:25.6,48:25.6,system,system
201,1266,42,0,1,05:41.7,05:41.7,system,system
202,915,42,0,1,51:12.3,51:12.3,system,system
203,1284,42,0,1,04:43.6,04:43.6,system,system
204,713,41,0,1,54:49.2,54:49.2,system,system
205,1292,44,0,1,43:05.7,43:05.7,system,system
206,1293,41,0,1,20:19.7,20:19.7,system,system
207,1300,13,0,1,31:07.2,31:07.2,system,system
208,1314,43,0,1,30:04.3,30:04.3,system,system
209,932,42,0,1,16:06.5,16:06.5,system,system
212,1337,40,0,1,42:38.4,42:38.4,system,system
214,1341,42,0,1,28:23.3,28:23.3,system,system
215,1344,42,0,1,08:03.2,08:03.2,system,system
216,1346,43,0,1,07:31.3,07:31.3,system,system
217,1350,41,0,1,38:59.4,38:59.4,system,system
219,1355,41,0,1,28:56.1,28:56.1,system,system
220,1356,41,0,1,12:49.6,12:49.6,system,system
221,1358,42,0,1,29:33.0,29:33.0,system,system
223,1365,41,0,1,29:19.0,29:19.0,system,system
224,1367,13,0,1,27:54.9,27:54.9,system,system
225,1370,41,0,1,08:18.8,08:18.8,system,system
226,1372,42,0,1,50:12.8,50:12.8,system,system
227,1374,40,0,1,03:38.9,03:38.9,system,system
228,1378,1,0,1,58:32.3,58:32.3,system,system
230,1382,42,0,1,00:30.5,00:30.5,system,system
232,613,42,0,1,19:31.0,19:31.0,system,system
233,638,21,0,1,44:52.5,44:52.5,system,system
235,1393,42,0,1,28:54.9,28:54.9,system,system
236,1407,44,0,1,39:08.4,39:08.4,system,system
238,1414,42,0,1,55:51.2,55:51.2,system,system
239,1415,12,0,1,07:26.7,07:26.7,system,system
240,434,13,0,1,06:04.8,06:04.8,system,system
241,1420,42,0,1,55:55.5,55:55.5,system,system
243,1421,42,0,1,20:31.1,20:31.1,system,system
247,1361,44,0,1,32:37.5,32:37.5,system,system
249,1436,42,0,1,20:40.0,20:40.0,system,system
250,1437,42,0,1,06:39.3,06:39.3,system,system
251,1435,44,0,1,27:19.1,27:19.1,system,system
