id,name,user_id,tag_id,type,linked_at,is_default,is_active,is_auto_charge,created_at,updated_at
1,,60,admin-tag,1,37:58.5,1,1,1,01:14.8,1/28/2025 0:04
2,,61,user-tag,1,31:12.9,1,1,1,01:14.8,1/28/2025 0:04
3,,62,quanle-tag,1,15:04.8,1,1,1,01:14.9,1/28/2025 0:04
4,,63,quanle2-tag,1,16:37.2,1,1,1,01:14.9,1/28/2025 0:04
5,,64,trantuan-tag,1,41:47.7,1,1,1,01:14.9,1/28/2025 0:04
6,,65,trantuan1-tag,1,42:01.3,1,1,1,01:14.9,1/28/2025 0:04
7,,66,tuantest-tag,1,30:57.9,1,1,1,01:15.0,1/28/2025 0:04
8,,67,pdnguyen-tag,1,36:49.9,1,1,1,01:15.0,1/28/2025 0:04
9,,68,longsiga-tag,1,47:53.3,1,1,1,01:15.0,1/28/2025 0:04
10,,69,tienvinh-tag,1,39:23.4,1,1,1,01:15.0,1/28/2025 0:04
11,,70,thanhdaoziot-tag,1,16:44.4,1,1,1,01:15.0,1/28/2025 0:04
12,,71,thanhdd-tag,1,37:25.1,1,1,1,01:15.0,1/28/2025 0:04
13,,72,quanle3-tag,1,29:09.7,1,1,1,01:15.0,1/28/2025 0:04
14,,73,Phương Đức-tag,1,44:30.9,1,1,1,01:15.1,1/28/2025 0:04
15,,74,trantuan2-tag,1,52:43.1,1,1,1,01:15.1,1/28/2025 0:04
16,,75,trantuan3-tag,1,53:51.3,1,1,1,01:15.1,1/28/2025 0:04
17,,76,thanhziot-tag,1,12:31.3,1,1,1,01:15.1,1/28/2025 0:04
18,,77,trantuan4-tag,1,48:50.0,1,1,1,01:15.1,1/28/2025 0:04
19,,78,Bùi Trọng Hiếu-tag,1,48:50.0,1,1,1,01:15.1,1/28/2025 0:04
20,,79,trantuan5-tag,1,44:05.1,1,1,1,01:15.1,1/28/2025 0:04
21,,80,testuser-tag,1,00:30.8,1,1,1,01:15.1,1/28/2025 0:04
22,,81,trantuan6-tag,1,08:38.2,1,1,1,01:15.2,1/28/2025 0:04
23,,82,trantuan7-tag,1,10:43.3,1,1,1,01:15.2,1/28/2025 0:04
24,,83,testuser2-tag,1,16:14.2,1,1,1,01:15.2,1/28/2025 0:04
25,,84,tuantestbeta-tag,1,34:29.6,1,1,1,01:15.2,1/28/2025 0:04
26,,93,kacccccc-tag,1,19:50.4,1,1,1,01:15.2,1/28/2025 0:04
27,,94,buihieub14-tag,1,04:36.4,1,1,1,01:15.2,1/28/2025 0:04
28,,95,buihieubk14-tag,1,33:13.2,1,1,1,01:15.2,1/28/2025 0:04
29,,96,buihieucqt-tag,1,40:10.5,1,1,1,01:15.3,1/28/2025 0:04
30,,97,hieutesttram1-tag,1,42:01.2,1,1,1,01:15.3,1/28/2025 0:04
31,ABC,98,testq8-tag,1,13:49.7,1,1,1,01:15.3,5/5/2025 2:46
32,,99,levannambk97-tag,1,19:34.4,1,1,1,01:15.3,1/28/2025 0:04
33,,100,phucvuhong-tag,1,32:47.2,1,1,1,01:15.3,1/28/2025 0:04
34,,101,hezo9x-tag,1,01:36.3,1,1,1,01:15.3,1/28/2025 0:04
35,,102,hoingo-tag,1,02:23.6,1,1,1,01:15.3,1/28/2025 0:04
36,,103,thuhang2007-tag,1,26:07.2,1,1,1,01:15.3,1/28/2025 0:04
37,,104,chaunt-tag,1,24:25.1,1,1,1,01:15.3,1/28/2025 0:04
