txn_id,car_name,nominal_kwh,usable_kwh,label_soh_abs,label_soh,soc_min_full,soc_max_full,delta_soc_full,soc_min_20_80,soc_max_20_80,delta_soc_20_80,dSOC_dt_mean,dSOC_dt_max,start_ts,end_ts,connector,seq_len
8094,BYD Atto 3 Dynamic,49.92,50.73321527777778,1.016290370147792,1.016290370147792,9.0,100.0,91.0,20.0,80.0,60.0,0.03127504553734062,0.05,2024-09-05 04:02:00,2024-09-05 05:07:00,363012,61
8201,BYD Atto 3 Dynamic,49.92,50.395319444444446,1.0095216234864672,1.0095216234864672,7.0,100.0,93.0,20.0,80.0,60.0,0.03389799635701275,0.05,2024-09-09 08:12:00,2024-09-09 09:15:00,351899,61
8275,BYD Atto 3 Dynamic,49.92,57.16527546296296,1.1451377296266618,1.05,15.0,100.0,85.0,20.0,80.0,60.0,0.03051001821493625,0.05,2024-09-12 04:27:00,2024-09-12 05:25:00,363012,61
8387,BYD Atto 3 Dynamic,49.92,72.34156250000002,1.4491498898237183,1.05,11.0,88.0,77.0,20.0,80.0,60.0,0.025136612021857924,0.03333333333333333,2024-09-16 07:42:00,2024-09-16 08:38:00,351899,61
8537,BYD Atto 3 Premium,60.48,69.1836111111111,1.1439089138741916,1.05,8.0,100.0,92.0,20.0,80.0,60.0,0.02996357012750455,0.03333333333333333,2024-09-22 05:16:00,2024-09-22 06:17:00,363012,61
8543,BYD Atto 3 Premium,60.48,67.28607407407408,1.1125342935528122,1.05,11.0,100.0,89.0,20.0,80.0,60.0,0.029717668488160293,0.05,2024-09-22 10:11:00,2024-09-22 11:16:00,363013,61
8646,BYD Atto 3 Dynamic,49.92,70.69704166666669,1.4162067641559835,1.05,19.0,100.0,81.0,20.0,80.0,60.0,0.028233151183970854,0.03333333333333333,2024-09-24 09:30:00,2024-09-24 10:30:00,351899,61
8650,BYD Atto 3 Premium,60.48,66.71835069444444,1.1031473329107877,1.05,9.0,83.0,74.0,20.0,80.0,60.0,0.031411657559198544,0.05,2024-09-24 15:15:00,2024-09-24 15:57:00,363012,61
8735,BYD Atto 3 Dynamic,49.92,55.34161111111112,1.108605991809117,1.05,6.0,96.0,90.0,20.0,80.0,60.0,0.028178506375227685,0.05,2024-09-27 07:14:00,2024-09-27 08:16:00,363012,61
8745,BYD Atto 3 Dynamic,49.92,68.36180555555556,1.3694271946225072,1.05,10.0,87.0,77.0,20.0,80.0,60.0,0.029417122040072862,0.03333333333333333,2024-09-27 10:16:00,2024-09-27 11:04:00,351899,61
8874,BYD Seal Advanced,61.44,21.087051104901736,0.34321372241051,0.7,0.0,100.0,100.0,20.0,80.0,60.0,0.718479484761864,1.0333334277735902,2024-10-02 04:19:00,2024-10-02 05:00:00,355367,61
