txn_id,car_name,nominal_kwh,usable_kwh,label_soh_abs,label_soh,soc_min_full,soc_max_full,delta_soc_full,soc_min_20_80,soc_max_20_80,delta_soc_20_80,dSOC_dt_mean,dSOC_dt_max,start_ts,end_ts,connector,seq_len
21424,BYD Atto 3 Premium,60.48,67.8064513888889,1.1211384158215758,1.05,7.0,100.0,93.0,20.0,80.0,60.0,0.03030965391621129,0.05,2025-05-01 03:40:00,2025-05-01 04:34:00,1362797,61
21431,BYD M6 Performance,55.4,26.981564261270144,0.48703184587130227,0.7,0.0,100.0,100.0,20.0,80.0,60.0,0.5136512697555611,0.9000001502037299,2025-05-01 04:37:00,2025-05-01 05:18:00,628886,61
21439,BYD Seal Perfomance,82.56,72.7280867145651,0.8809119030349454,0.8809119030349454,0.0,100.0,100.0,20.0,80.0,60.0,0.108908242426409,0.5166666820645337,2025-05-01 05:21:00,2025-05-01 06:30:00,628885,61
21469,BYD Dolphin GLX,44.9,49.82693672839506,1.1097313302537877,1.05,13.0,97.0,84.0,20.0,80.0,60.0,0.03470856102003642,0.05,2025-05-01 10:21:00,2025-05-01 11:12:00,351898,61
21479,BYD Dolphin GLX,44.9,50.41597685185185,1.1228502639610658,1.05,0.0,100.0,100.0,20.0,80.0,60.0,0.10508255479170339,0.5,2025-05-01 11:57:00,2025-05-01 12:51:00,628885,61
21482,BYD M6 Performance,55.4,35.88047660692501,0.6476620326159749,0.7,0.0,82.0,82.0,20.0,80.0,60.0,0.3289360423197188,0.7666667093171038,2025-05-01 12:45:00,2025-05-01 13:13:00,628886,61
21484,BYD M6 Performance,55.4,30.08555123000496,0.5430604915163351,0.7,0.0,88.0,88.0,20.0,80.0,60.0,0.445253608291364,0.8500000506639511,2025-05-01 13:19:00,2025-05-01 13:47:00,628886,61
21487,BYD Atto 3 Dynamic,49.92,63.32166319444446,1.2684628043758905,1.05,12.0,99.0,87.0,20.0,80.0,60.0,0.0354007285974499,0.05,2025-05-01 13:54:00,2025-05-01 14:51:00,351899,61
21500,BYD M6 Performance,55.4,51.82156635802469,0.9354073349823951,0.9354073349823951,0.0,100.0,100.0,20.0,80.0,60.0,0.10020491803278689,0.5,2025-05-01 15:06:00,2025-05-01 16:09:00,628885,61
21559,BYD M6 Performance,55.4,17.620916844654708,0.31806709105874925,0.7,0.0,100.0,100.0,20.0,80.0,60.0,0.7486913279159754,1.0500000625848807,2025-05-02 04:08:00,2025-05-02 04:43:00,628886,61
21564,BYD Atto 3 Premium,60.48,67.12123958333335,1.109808855544533,1.05,9.0,100.0,91.0,20.0,80.0,60.0,0.03020036429872495,0.05,2025-05-02 05:17:00,2025-05-02 06:21:00,351899,61
21641,BYD Atto 3 Dynamic,49.92,61.36591666666667,1.2292851896367523,1.05,13.0,99.0,86.0,20.0,80.0,60.0,0.034608378870673945,0.05,2025-05-02 12:48:00,2025-05-02 13:45:00,351898,61
21658,BYD Dolphin GLX,44.9,63.78064660493828,1.4205043787291378,1.05,11.0,100.0,89.0,20.0,80.0,60.0,0.0337431693989071,0.05,2025-05-02 14:09:00,2025-05-02 15:10:00,351898,61
21668,BYD Dolphin GLX,44.9,33.27882388117284,0.7411764784225577,0.7411764784225577,0.0,92.0,92.0,20.0,80.0,60.0,0.38177391175049263,0.8,2025-05-02 15:38:00,2025-05-02 16:13:00,628885,61
21698,BYD Seal Perfomance,82.56,96.63578819444444,1.1704916205722438,1.05,2.0,83.0,81.0,20.0,80.0,60.0,0.022131147540983602,0.03333333333333333,2025-05-03 02:51:00,2025-05-03 03:53:00,363012,61
21714,BYD M6 Performance,55.4,51.31447417534722,0.926254046486412,0.926254046486412,0.0,95.0,95.0,20.0,80.0,60.0,0.12621294916376882,0.5333333333333333,2025-05-03 04:54:00,2025-05-03 05:43:00,628886,61
21731,BYD M6 Performance,55.4,50.55462385759383,0.9125383367796721,0.9125383367796721,0.0,93.0,93.0,20.0,80.0,60.0,0.11541645984505956,0.5166666820645337,2025-05-03 06:40:00,2025-05-03 07:26:00,628886,61
21742,BYD M6 Performance,55.4,59.54612500000001,1.0748398014440435,1.05,0.0,96.0,96.0,20.0,80.0,60.0,0.027413479052823316,0.03333333333333333,2025-05-03 08:13:00,2025-05-03 09:15:00,628886,61
21782,BYD M6 Performance,55.4,38.728012338438084,0.6990615945566442,0.7,0.0,100.0,100.0,20.0,80.0,60.0,0.2892956887599361,0.7166666922966648,2025-05-03 12:28:00,2025-05-03 13:13:00,1332152,61
21791,BYD Dolphin GLX,44.9,43.41721351277637,0.966975802066289,0.966975802066289,0.0,97.0,97.0,20.0,80.0,60.0,0.1920204566544657,0.6166666715674931,2025-05-03 13:43:00,2025-05-03 14:30:00,628886,61
21811,BYD M6 Performance,55.4,43.00631740622899,0.7762873178019674,0.7762873178019674,0.0,100.0,100.0,20.0,80.0,60.0,0.20641165636482608,0.6333333584997399,2025-05-03 20:56:00,2025-05-03 21:46:00,628886,61
21814,BYD M6 Performance,55.4,41.46980991024677,0.7485525254557178,0.7485525254557178,0.0,100.0,100.0,20.0,80.0,60.0,0.21351092947064795,0.6500000387430214,2025-05-03 22:55:00,2025-05-04 00:07:00,628886,61
21834,BYD M6 Performance,55.4,33.24169772376543,0.6000306448333109,0.7,0.0,81.0,81.0,20.0,80.0,60.0,0.38177391175049263,0.8,2025-05-04 03:23:00,2025-05-04 03:46:00,628886,61
21868,BYD M6 Performance,55.4,37.95023938692396,0.6850223716051257,0.7,0.0,100.0,100.0,20.0,80.0,60.0,0.27062427526758304,0.7000000417232538,2025-05-04 08:51:00,2025-05-04 09:40:00,628886,61
21881,BYD M6 Performance,55.4,61.20627777777777,1.1048064580826313,1.05,8.0,100.0,92.0,20.0,80.0,60.0,0.03114754098360656,0.03333333333333333,2025-05-04 10:25:00,2025-05-04 11:26:00,1332151,61
21900,BYD Atto 3 Premium,60.48,64.86405555555555,1.07248769106408,1.05,15.0,100.0,85.0,20.0,80.0,60.0,0.024134790528233148,0.03333333333333333,2025-05-04 12:34:00,2025-05-04 13:44:00,363012,61
21910,BYD Atto 3 Dynamic,49.92,60.70616319444445,1.2160689742476853,1.05,19.0,100.0,81.0,20.0,80.0,60.0,0.03085610200364299,0.05,2025-05-04 13:36:00,2025-05-04 14:35:00,351899,61
21926,BYD Dolphin GLX,44.9,44.14483847853713,0.9831812578738782,0.9831812578738782,0.0,93.0,93.0,20.0,80.0,60.0,0.1780845551798052,0.6000000143051151,2025-05-04 15:38:00,2025-05-04 16:20:00,628886,61
21976,BYD Atto 3 Dynamic,49.92,96.34942708333332,1.9300766643295937,1.05,7.0,82.0,75.0,20.0,80.0,60.0,0.02322404371584699,0.03333333333333333,2025-05-05 03:43:00,2025-05-05 04:40:00,351898,61
