transaction_pk,tag_id,user_id,car_model_id,car_name,txn_id,nominal_kwh,usable_kwh,label_soh_abs,label_soh,soc_min_full,soc_max_full,delta_soc_full,soc_min_20_80,soc_max_20_80,delta_soc_20_80,dsoc_dt_mean,dsoc_dt_max,start_ts,end_ts,connector,seq_len
21424,0CCC47888257,1648,42,BYD Atto 3 Premium,21424,60.48,67.8064513888889,1.1211384158215758,1.05,7.0,100.0,93.0,20.0,80.0,60.0,0.0303096539162112,0.05,2025-05-01 03:40:00,2025-05-01 04:34:00,1362797,61
21431,0CCC478CEE68,1571,45,BYD M6 Performance,21431,55.4,26.981564261270144,0.4870318458713022,0.7,0.0,100.0,100.0,20.0,80.0,60.0,0.5136512697555611,0.9000001502037299,2025-05-01 04:37:00,2025-05-01 05:18:00,628886,61
21439,evc1791,1791,44,BYD Seal Perfomance,21439,82.56,72.7280867145651,0.8809119030349454,0.8809119030349454,0.0,100.0,100.0,20.0,80.0,60.0,0.108908242426409,0.5166666820645337,2025-05-01 05:21:00,2025-05-01 06:30:00,628885,61
21469,0966881804-tag,668,40,BYD Dolphin GLX,21469,44.9,49.82693672839506,1.1097313302537877,1.05,13.0,97.0,84.0,20.0,80.0,60.0,0.0347085610200364,0.05,2025-05-01 10:21:00,2025-05-01 11:12:00,351898,61
21479,0CCC478B9622,1080,40,BYD Dolphin GLX,21479,44.9,50.41597685185185,1.1228502639610658,1.05,0.0,100.0,100.0,20.0,80.0,60.0,0.1050825547917033,0.5,2025-05-01 11:57:00,2025-05-01 12:51:00,628885,61
21482,evc-1492,1492,45,BYD M6 Performance,21482,55.4,35.88047660692501,0.6476620326159749,0.7,0.0,82.0,82.0,20.0,80.0,60.0,0.3289360423197188,0.7666667093171038,2025-05-01 12:45:00,2025-05-01 13:13:00,628886,61
21484,0CCC478CEE68,1571,45,BYD M6 Performance,21484,55.4,30.08555123000496,0.5430604915163351,0.7,0.0,88.0,88.0,20.0,80.0,60.0,0.445253608291364,0.8500000506639511,2025-05-01 13:19:00,2025-05-01 13:47:00,628886,61
21487,0399122532-tag,653,41,BYD Atto 3 Dynamic,21487,49.92,63.32166319444446,1.2684628043758903,1.05,12.0,99.0,87.0,20.0,80.0,60.0,0.0354007285974499,0.05,2025-05-01 13:54:00,2025-05-01 14:51:00,351899,61
21500,evc-1455,1455,45,BYD M6 Performance,21500,55.4,51.82156635802469,0.9354073349823953,0.9354073349823953,0.0,100.0,100.0,20.0,80.0,60.0,0.1002049180327868,0.5,2025-05-01 15:06:00,2025-05-01 16:09:00,628885,61
21559,0CCC478CEE68,1571,45,BYD M6 Performance,21559,55.4,17.620916844654708,0.3180670910587492,0.7,0.0,100.0,100.0,20.0,80.0,60.0,0.7486913279159754,1.0500000625848809,2025-05-02 04:08:00,2025-05-02 04:43:00,628886,61
21564,0983328826-tag,654,42,BYD Atto 3 Premium,21564,60.48,67.12123958333335,1.109808855544533,1.05,9.0,100.0,91.0,20.0,80.0,60.0,0.0302003642987249,0.05,2025-05-02 05:17:00,2025-05-02 06:21:00,351899,61
21641,0399122532-tag,653,41,BYD Atto 3 Dynamic,21641,49.92,61.36591666666667,1.2292851896367525,1.05,13.0,99.0,86.0,20.0,80.0,60.0,0.0346083788706739,0.05,2025-05-02 12:48:00,2025-05-02 13:45:00,351898,61
21658,0966881804-tag,668,40,BYD Dolphin GLX,21658,44.9,63.78064660493828,1.4205043787291378,1.05,11.0,100.0,89.0,20.0,80.0,60.0,0.0337431693989071,0.05,2025-05-02 14:09:00,2025-05-02 15:10:00,351898,61
21668,0CCC478B9622,1080,40,BYD Dolphin GLX,21668,44.9,33.27882388117284,0.7411764784225577,0.7411764784225577,0.0,92.0,92.0,20.0,80.0,60.0,0.3817739117504926,0.8,2025-05-02 15:38:00,2025-05-02 16:13:00,628885,61
21698,0CCC478B0EA0,1292,44,BYD Seal Perfomance,21698,82.56,96.63578819444444,1.1704916205722438,1.05,2.0,83.0,81.0,20.0,80.0,60.0,0.0221311475409836,0.0333333333333333,2025-05-03 02:51:00,2025-05-03 03:53:00,363012,61
21714,0CCC478C6895,1713,45,BYD M6 Performance,21714,55.4,51.31447417534722,0.926254046486412,0.926254046486412,0.0,95.0,95.0,20.0,80.0,60.0,0.1262129491637688,0.5333333333333333,2025-05-03 04:54:00,2025-05-03 05:43:00,628886,61
21731,0CCC478D0197,1669,45,BYD M6 Performance,21731,55.4,50.55462385759383,0.912538336779672,0.912538336779672,0.0,93.0,93.0,20.0,80.0,60.0,0.1154164598450595,0.5166666820645337,2025-05-03 06:40:00,2025-05-03 07:26:00,628886,61
21742,0CCC478CEE68,1571,45,BYD M6 Performance,21742,55.4,59.54612500000001,1.0748398014440437,1.05,0.0,96.0,96.0,20.0,80.0,60.0,0.0274134790528233,0.0333333333333333,2025-05-03 08:13:00,2025-05-03 09:15:00,628886,61
21782,0CCC478C86C6,1483,45,BYD M6 Performance,21782,55.4,38.72801233843808,0.6990615945566442,0.7,0.0,100.0,100.0,20.0,80.0,60.0,0.2892956887599361,0.7166666922966648,2025-05-03 12:28:00,2025-05-03 13:13:00,1332152,61
21791,0CCC478B9622,1080,40,BYD Dolphin GLX,21791,44.9,43.41721351277637,0.966975802066289,0.966975802066289,0.0,97.0,97.0,20.0,80.0,60.0,0.1920204566544657,0.6166666715674931,2025-05-03 13:43:00,2025-05-03 14:30:00,628886,61
21811,0CCC478CEE68,1571,45,BYD M6 Performance,21811,55.4,43.00631740622899,0.7762873178019674,0.7762873178019674,0.0,100.0,100.0,20.0,80.0,60.0,0.206411656364826,0.6333333584997399,2025-05-03 20:56:00,2025-05-03 21:46:00,628886,61
21814,0CCC478C6895,1713,45,BYD M6 Performance,21814,55.4,41.46980991024677,0.7485525254557178,0.7485525254557178,0.0,100.0,100.0,20.0,80.0,60.0,0.2135109294706479,0.6500000387430214,2025-05-03 22:55:00,2025-05-04 00:07:00,628886,61
21834,0CCC478CEE68,1571,45,BYD M6 Performance,21834,55.4,33.24169772376543,0.6000306448333109,0.7,0.0,81.0,81.0,20.0,80.0,60.0,0.3817739117504926,0.8,2025-05-04 03:23:00,2025-05-04 03:46:00,628886,61
21868,0CCC478CEE68,1571,45,BYD M6 Performance,21868,55.4,37.95023938692396,0.6850223716051257,0.7,0.0,100.0,100.0,20.0,80.0,60.0,0.270624275267583,0.7000000417232538,2025-05-04 08:51:00,2025-05-04 09:40:00,628886,61
21881,evc1621,1621,45,BYD M6 Performance,21881,55.4,61.20627777777777,1.1048064580826311,1.05,8.0,100.0,92.0,20.0,80.0,60.0,0.0311475409836065,0.0333333333333333,2025-05-04 10:25:00,2025-05-04 11:26:00,1332151,61
21900,0CCC47891E7D,819,42,BYD Atto 3 Premium,21900,60.48,64.86405555555555,1.07248769106408,1.05,15.0,100.0,85.0,20.0,80.0,60.0,0.0241347905282331,0.0333333333333333,2025-05-04 12:34:00,2025-05-04 13:44:00,363012,61
21910,0399122532-tag,653,41,BYD Atto 3 Dynamic,21910,49.92,60.70616319444445,1.2160689742476851,1.05,19.0,100.0,81.0,20.0,80.0,60.0,0.0308561020036429,0.05,2025-05-04 13:36:00,2025-05-04 14:35:00,351899,61
21926,0CCC478B9622,1080,40,BYD Dolphin GLX,21926,44.9,44.14483847853713,0.9831812578738782,0.9831812578738782,0.0,93.0,93.0,20.0,80.0,60.0,0.1780845551798052,0.6000000143051151,2025-05-04 15:38:00,2025-05-04 16:20:00,628886,61
21976,0399122532-tag,653,41,BYD Atto 3 Dynamic,21976,49.92,96.34942708333332,1.9300766643295937,1.05,7.0,82.0,75.0,20.0,80.0,60.0,0.0232240437158469,0.0333333333333333,2025-05-05 03:43:00,2025-05-05 04:40:00,351898,61
22043,0966881804-tag,668,40,BYD Dolphin GLX,22043,44.9,61.63806944444445,1.372785511012126,1.05,8.0,100.0,92.0,20.0,80.0,60.0,0.0266848816029143,0.0333333333333333,2025-05-05 13:04:00,2025-05-05 14:13:00,351898,61
22061,0CCC478B9622,1080,40,BYD Dolphin GLX,22061,44.9,58.05715920673606,1.293032499036438,1.05,0.0,88.0,88.0,20.0,80.0,60.0,0.0387978141114456,0.3666666637526618,2025-05-05 17:07:00,2025-05-05 17:52:00,628886,61
22102,0CCC478D0197,1669,45,BYD M6 Performance,22102,55.4,60.49945739810177,1.0920479674747612,1.05,0.0,86.0,86.0,20.0,80.0,60.0,0.0321245237904397,0.3499999916553499,2025-05-06 03:25:00,2025-05-06 04:10:00,628886,61
22108,0CCC478CEE68,1571,45,BYD M6 Performance,22108,55.4,59.51861805555556,1.0743432862013638,1.05,0.0,100.0,100.0,20.0,80.0,60.0,0.0276867030965391,0.0333333333333333,2025-05-06 05:10:00,2025-05-06 06:16:00,628886,61
22111,0399122532-tag,653,41,BYD Atto 3 Dynamic,22111,49.92,63.03455555555553,1.2627114494301988,1.05,4.0,100.0,96.0,20.0,80.0,60.0,0.0198907103825136,0.0333333333333333,2025-05-06 05:57:00,2025-05-06 07:23:00,351899,61
22112,evc1621,1621,45,BYD M6 Performance,22112,55.4,62.64547916666668,1.1307848225030086,1.05,17.0,92.0,75.0,20.0,80.0,60.0,0.0307832422586521,0.0333333333333333,2025-05-06 05:58:00,2025-05-06 06:46:00,1332152,61
22130,0399122532-tag,653,41,BYD Atto 3 Dynamic,22130,49.92,67.68469791666666,1.355863339676816,1.05,15.0,96.0,81.0,20.0,80.0,60.0,0.0271402550091074,0.0333333333333333,2025-05-06 08:38:00,2025-05-06 09:36:00,351898,61
22151,evc1510,1510,41,BYD Atto 3 Dynamic,22151,49.92,55.71495486111111,1.11608483295495,1.05,12.0,95.0,83.0,20.0,80.0,60.0,0.0288524590163934,0.05,2025-05-06 11:19:00,2025-05-06 12:18:00,351899,61
22169,0CCC478B0EA0,1292,44,BYD Seal Perfomance,22169,82.56,96.15322916666668,1.1646466711078811,1.05,9.0,100.0,91.0,20.0,80.0,60.0,0.0232604735883424,0.05,2025-05-06 13:55:00,2025-05-06 15:20:00,363013,61
22171,0CCC478B9622,1080,40,BYD Dolphin GLX,22171,44.9,38.78078546276301,0.8637145982797999,0.8637145982797999,0.0,93.0,93.0,20.0,80.0,60.0,0.2699326468223096,0.7000000417232538,2025-05-06 14:35:00,2025-05-06 15:14:00,628886,61
22182,0CCC478C6895,1713,45,BYD M6 Performance,22182,55.4,40.596076504787504,0.7327811643463449,0.7327811643463449,0.0,100.0,100.0,20.0,80.0,60.0,0.2529013789970443,0.6833333727055149,2025-05-06 20:57:00,2025-05-06 21:46:00,628886,61
