transaction_pk,car_name,nominal_kwh
410,BYD Dolphin GLX,44.9
413,BYD Dolphin GLX,44.9
414,BYD Dolphin GLX,44.9
419,Volvo EC40 Ultra ,78.0
420,Volvo EC40 Ultra ,78.0
421,Volvo EC40 Ultra ,78.0
422,Volvo EC40 Ultra ,78.0
428,Volvo EC40 Ultra ,78.0
429,Volvo EC40 Ultra ,78.0
430,Volvo EC40 Ultra ,78.0
431,Volvo EC40 Ultra ,78.0
432,Volvo EC40 Ultra ,78.0
433,Volvo EC40 Ultra ,78.0
434,Volvo EC40 Ultra ,78.0
435,Volvo EC40 Ultra ,78.0
437,Volvo EC40 Ultra ,78.0
444,Volvo EC40 Ultra ,78.0
448,Volvo EC40 Ultra ,78.0
460,Volvo EC40 Ultra ,78.0
462,BYD Dolphin GLX,44.9
463,BYD Dolphin GLX,44.9
464,BYD Dolphin GLX,44.9
465,BYD Dolphin GLX,44.9
466,BYD Dolphin GLX,44.9
467,BYD Dolphin GLX,44.9
468,Volvo EC40 Ultra ,78.0
469,Volvo EC40 Ultra ,78.0
494,BYD Dolphin GLX,44.9
499,Volvo EC40 Ultra ,78.0
500,Volvo EC40 Ultra ,78.0
501,Volvo EC40 Ultra ,78.0
502,Volvo EC40 Ultra ,78.0
503,Volvo EC40 Ultra ,78.0
514,Volvo EC40 Ultra ,78.0
515,Volvo EC40 Ultra ,78.0
516,Volvo EC40 Ultra ,78.0
517,BYD Dolphin GLX,44.9
518,Volvo EC40 Ultra ,78.0
519,Volvo EC40 Ultra ,78.0
520,Volvo EC40 Ultra ,78.0
521,Volvo EC40 Ultra ,78.0
522,Volvo EC40 Ultra ,78.0
524,Volvo EC40 Ultra ,78.0
531,Volvo EC40 Ultra ,78.0
532,Volvo EC40 Ultra ,78.0
534,Volvo EC40 Ultra ,78.0
538,BYD Dolphin GLX,44.9
543,Volvo EC40 Ultra ,78.0
544,Volvo EC40 Ultra ,78.0
571,BYD Dolphin GLX,44.9
630,BYD Dolphin GLX,44.9
631,BYD Dolphin GLX,44.9
634,BYD Dolphin GLX,44.9
635,BYD Dolphin GLX,44.9
816,Volvo EC40 Ultra ,78.0
817,BYD Dolphin GLX,44.9
979,BYD Dolphin GLX,44.9
996,BYD Dolphin GLX,44.9
1027,BYD Dolphin GLX,44.9
1028,BYD Dolphin GLX,44.9
1029,BYD Dolphin GLX,44.9
1757,Volvo EC40 Ultra ,78.0
1758,Volvo EC40 Ultra ,78.0
1759,Volvo EC40 Ultra ,78.0
1762,Volvo EC40 Ultra ,78.0
1926,Volvo EC40 Ultra ,78.0
1927,Volvo EC40 Ultra ,78.0
1928,Volvo EC40 Ultra ,78.0
1929,Volvo EC40 Ultra ,78.0
1937,Volvo EC40 Ultra ,78.0
1938,Volvo EC40 Ultra ,78.0
1943,Volvo EC40 Ultra ,78.0
1944,Volvo EC40 Ultra ,78.0
1945,Volvo EC40 Ultra ,78.0
1948,Volvo EC40 Ultra ,78.0
1951,Volvo EC40 Ultra ,78.0
1955,Volvo EC40 Ultra ,78.0
1971,Volvo EC40 Ultra ,78.0
1972,Volvo EC40 Ultra ,78.0
1973,Volvo EC40 Ultra ,78.0
1974,Volvo EC40 Ultra ,78.0
3071,BYD Dolphin GLX,44.9
3551,Volvo EC40 Ultra ,78.0
3591,Volvo EC40 Ultra ,78.0
3592,Volvo EC40 Ultra ,78.0
